1,1,水毛生家住宅,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
2,1,喜多家住宅,2015-02-23 04:58:22,2015-02-23 04:58:22,1,0
3,1,郷土資料館,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
4,1,富樫館跡,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
5,2,洗濯のしぐさ,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
6,2,料理のしぐさ,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
7,2,水をのむしぐさ,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
8,2,農作業のしぐさ,2015-02-23 04:58:22,2015-02-23 04:58:22,1,0
9,3,佐久間盛政,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
10,3,富樫家国,2015-02-23 04:58:22,2015-02-23 04:58:22,1,0
11,3,富樫倫太郎,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
12,3,富樫義博,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
13,4,1200人,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
14,4,2400人,2015-02-23 04:58:22,2015-02-23 04:58:22,1,0
15,4,3000人,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
16,4,100人,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
17,5,りんご,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
18,5,キウイフルーツ,2015-02-23 04:58:22,2015-02-23 04:58:22,1,0
19,5,バナナ,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
20,5,ごま,2015-02-23 04:58:22,2015-02-23 04:58:22,0,0
21,1,布水中学校,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
22,1,野々市中学校,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
23,1,押野中学校,2015-02-23 04:58:22,2015-02-23 04:58:22,1,1
24,1,菅原中学校,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
25,2,戦国時代,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
26,2,室町時代,2015-02-23 04:58:22,2015-02-23 04:58:22,1,1
27,2,安土桃山時代,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
28,2,江戸時代,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
29,3,布市神社,2015-02-23 04:58:22,2015-02-23 04:58:22,1,1
30,3,稲荷神社,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
31,3,野代神社,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
32,3,菅原神社,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
33,4,御園小学校,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
34,4,菅原小学校,2015-02-23 04:58:22,2015-02-23 04:58:22,1,1
35,4,富陽小学校,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
36,4,館野小学校,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
37,5,ヘイワード,2015-02-23 04:58:22,2015-02-23 04:58:22,1,1
38,5,ワイヘード,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
39,5,ドイワード,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
40,5,ワードヘイ,2015-02-23 04:58:22,2015-02-23 04:58:22,0,1
