1,1,野々市市の中で重要文化財に登録されているのは？,/kitake2.jpg,0,2015-02-23 04:58:22,2015-02-23 04:58:22
2,2,じょんから祭りは何のしぐさをもとにした踊りですか？,/fest.jpg,0,2015-02-23 04:58:22,2015-02-23 04:58:22
3,3,野々市市文化会館フォルテの前にある銅像は誰？,/statue.png,0,2015-02-23 04:58:22,2015-02-23 04:58:22
4,4,野々市小学校の最も多かった頃の児童数は？,/school.png,0,2015-02-23 04:58:22,2015-02-23 04:58:22
5,5,野々市市を代表するフルーツは何でしょう？,/kiwi.png,0,2015-02-23 04:58:22,2015-02-23 04:58:22
6,1,御経塚遺跡を発見したのはどこの中学校の生徒？,/iseki.jpg,1,2015-02-23 04:58:22,2015-02-23 04:58:22
7,2,野々市じょんからの由来になった御贄踊りはいつの時代のものですか？,/fest.jpg,1,2015-02-23 04:58:22,2015-02-23 04:58:22
8,3,野々市の由来になった神社はどれ？,/jinja.jpg,1,2015-02-23 04:58:22,2015-02-23 04:58:22
9,4,1981年にできた小学校は？,/school.png,1,2015-02-23 04:58:22,2015-02-23 04:58:22
10,5,野々市でも栽培されている、大きく、あまみのあるキウイフルーツの名前は何でしょう,/kiwi.png,1,2015-02-23 04:58:22,2015-02-23 04:58:22
